position,book_name,goodreads_score ,author,ratings,url,rating,total_rating,pages
1,All the Light We Cannot See,"13,004", Anthony Doerr, 4.32 avg rating — 1.143.599 ratings,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,4.32,"1,143,599",531
2,The Nightingale,"11,123", Kristin Hannah, 4.57 avg rating — 808.151 ratings,https://www.goodreads.com/book/show/21853621-the-nightingale,4.57,"808,151",440
3,The Girl on the Train,"10,776", Paula Hawkins, 3.93 avg rating — 2.299.436 ratings,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,3.93,"2,299,436",325
4,The Fault in Our Stars,"9,596", John Green, 4.19 avg rating — 3.863.532 ratings,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,4.19,"3,863,532",313
5,Gone Girl,"8,432", Gillian Flynn, 4.09 avg rating — 2.491.162 ratings,https://www.goodreads.com/book/show/19288043-gone-girl,4.09,"2,491,162",415
6,Orphan Train,"5,897", Christina Baker Kline, 4.18 avg rating — 392.891 ratings,https://www.goodreads.com/book/show/15818107-orphan-train,4.18,"392,891",278
7,Me Before You (Me Before You #1),"5,878", Jojo Moyes, 4.25 avg rating — 1.256.273 ratings,https://www.goodreads.com/book/show/15507958-me-before-you,4.25,"1,256,273",369
8,The Goldfinch,"4,728", Donna Tartt, 3.92 avg rating — 770.233 ratings,https://www.goodreads.com/book/show/17333223-the-goldfinch,3.92,"770,233",771
9,Big Little Lies,"4,122", Liane Moriarty, 4.28 avg rating — 810.417 ratings,https://www.goodreads.com/book/show/19486412-big-little-lies,4.28,"810,417",458
10,The Invention of Wings,"3,779", Sue Monk Kidd, 4.23 avg rating — 280.569 ratings,https://www.goodreads.com/book/show/18079776-the-invention-of-wings,4.23,"280,569",384
11,Sarah's Key,"3,694", Tatiana de Rosnay, 4.16 avg rating — 438.030 ratings,https://www.goodreads.com/book/show/556602.Sarah_s_Key,4.16,"438,030",294
12,The Husband's Secret,"2,847", Liane Moriarty, 3.95 avg rating — 564.606 ratings,https://www.goodreads.com/book/show/17802724-the-husband-s-secret,3.95,"564,606",396
13,Gray Mountain,"2,615", John Grisham, 3.60 avg rating — 85.533 ratings,https://www.goodreads.com/book/show/20707959-gray-mountain,3.6,"85,533",368
14,Memory Man (Amos Decker #1),"2,135", David Baldacci, 4.07 avg rating — 117.487 ratings,https://www.goodreads.com/book/show/23153154-memory-man,4.07,"117,487",416
15,Sycamore Row (Jake Brigance #2),"2,025", John Grisham, 4.04 avg rating — 111.348 ratings,https://www.goodreads.com/book/show/17288661-sycamore-row,4.04,"111,348",447
16,The Escape (John Puller #3),"1,743", David Baldacci, 4.17 avg rating — 49.483 ratings,https://www.goodreads.com/book/show/20767918-the-escape,4.17,"49,483",470
17,The Rosie Effect (Don Tillman #2),"1,625", Graeme Simsion, 3.62 avg rating — 116.800 ratings,https://www.goodreads.com/book/show/21844019-the-rosie-effect,3.62,"116,800",415
18,Leaving Time,"1,619", Jodi Picoult, 3.96 avg rating — 150.406 ratings,https://www.goodreads.com/book/show/18816603-leaving-time,3.96,"150,406",398
19,Be Careful What You Wish For (The Clifton Chronicles #4),"1,566", Jeffrey Archer, 4.10 avg rating — 33.080 ratings,https://www.goodreads.com/book/show/18404285-be-careful-what-you-wish-for,4.1,"33,080",387
20,A Spool of Blue Thread,"1,544", Anne Tyler, 3.43 avg rating — 87.214 ratings,https://www.goodreads.com/book/show/22501028-a-spool-of-blue-thread,3.43,"87,214",358
21,What Alice Forgot,"1,516", Liane Moriarty, 4.08 avg rating — 380.555 ratings,https://www.goodreads.com/book/show/6469165-what-alice-forgot,4.08,"380,555",476
22,Before I Go,"1,169", Colleen Oakley, 3.80 avg rating — 12.059 ratings,https://www.goodreads.com/book/show/20871704-before-i-go,3.8,"12,059",309
23,The Selection (The Selection #1),"1,161", Kiera Cass, 4.12 avg rating — 1.036.675 ratings,https://www.goodreads.com/book/show/10507293-the-selection,4.12,"1,036,675",336
24,Edge of Eternity (The Century Trilogy #3),"1,16", Ken Follett, 4.14 avg rating — 86.896 ratings,https://www.goodreads.com/book/show/11389875-edge-of-eternity,4.14,"86,896",1098
25,Station Eleven,"1,158", Emily St. John Mandel, 4.05 avg rating — 355.838 ratings,https://www.goodreads.com/book/show/20170404-station-eleven,4.05,"355,838",333
26,As Chimney Sweepers Come to Dust (Flavia de Luce #7),"1,092", Alan Bradley, 3.95 avg rating — 24.506 ratings,https://www.goodreads.com/book/show/21874813-as-chimney-sweepers-come-to-dust,3.95,"24,506",392
27,Revival,"1,08", Stephen King, 3.79 avg rating — 105.552 ratings,https://www.goodreads.com/book/show/20926278-revival,3.79,"105,552",405
28,Paper Towns,"1,062", John Green, 3.77 avg rating — 1.017.490 ratings,https://www.goodreads.com/book/show/6442769-paper-towns,3.77,"1,017,490",305
29,The Perks of Being a Wallflower,"1,061", Stephen Chbosky, 4.20 avg rating — 1.347.170 ratings,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,4.2,"1,347,170",213
30,The Rosie Project (Don Tillman #1),"1,054", Graeme Simsion, 4.01 avg rating — 479.995 ratings,https://www.goodreads.com/book/show/17925125-the-rosie-project,4.01,"479,995",305
31,Carry On (Simon Snow #1),881, Rainbow Rowell, 4.20 avg rating — 239.393 ratings,https://www.goodreads.com/book/show/23734628-carry-on,4.2,"239,393",522
32,The Boston Girl,879, Anita Diamant, 3.81 avg rating — 79.555 ratings,https://www.goodreads.com/book/show/22450859-the-boston-girl,3.81,"79,555",320
33,Golden Son (Red Rising Saga #2),877, Pierce Brown, 4.44 avg rating — 161.398 ratings,https://www.goodreads.com/book/show/18966819-golden-son,4.44,"161,398",430
34,The Burning Room (Harry Bosch #17; Harry Bosch Universe #26),783, Michael Connelly, 4.10 avg rating — 50.282 ratings,https://www.goodreads.com/book/show/20881071-the-burning-room,4.1,"50,282",388
35,Finders Keepers (Bill Hodges Trilogy #2),782, Stephen King, 4.04 avg rating — 120.989 ratings,https://www.goodreads.com/book/show/22453035-finders-keepers,4.04,"120,989",488
36,Fangirl,778, Rainbow Rowell, 4.02 avg rating — 629.412 ratings,https://www.goodreads.com/book/show/16068905-fangirl,4.02,"629,412",483
37,First Frost (Waverley Family #2),684, Sarah Addison Allen, 3.97 avg rating — 31.645 ratings,https://www.goodreads.com/book/show/21853633-first-frost,3.97,"31,645",296
38,World After (Penryn & the End of Days #2),666, Susan Ee, 4.15 avg rating — 97.275 ratings,https://www.goodreads.com/book/show/17849112-world-after,4.15,"97,275",320
39,Hush Hush (Hush Hush #1),665, Becca Fitzpatrick, 3.95 avg rating — 616.615 ratings,https://www.goodreads.com/book/show/6339664-hush-hush,3.95,"616,615",391
40,The Bone Clocks,659, David Mitchell, 3.83 avg rating — 89.577 ratings,https://www.goodreads.com/book/show/20819685-the-bone-clocks,3.83,"89,577",624
41,Dead Heat (Alpha & Omega #4 Mercy Thompson World - Complete #11),593, Patricia Briggs, 4.27 avg rating — 33.696 ratings,https://www.goodreads.com/book/show/22571699-dead-heat,4.27,"33,696",324
42,All the Single Ladies (Lowcountry Tales #10),592, Dorothea Benton Frank, 3.61 avg rating — 9.553 ratings,https://www.goodreads.com/book/show/23215447-all-the-single-ladies,3.61,"9,553",357
